id,id_clientes,numero,cvc,validade
1, 200,4556019157107970,320,18/11/2018
4, 174,4485869677125837,923,18/08/2018
6, 176,5228833007011983,928,18/07/2018
10, 179,4485987672820,329,18/06/2018
22, 179,4485806614008668,283,18/06/2018
40, 189,5513953861524683,238,18/11/2018
41, 198,4024007198308,828,18/02/2018
42, 200,345420209993843,1231,13/11/2017
43, 275,6362975809018593,238,12/11/2020
44, 273,349304528587286,1241,15/10/2019
45, 270,6362970531636531,392,11/05/2019
46, 189,376983956114691,2414,20/06/2019
47, 191,4539778270413001,093,12/11/2020
90, 288,6362976249603739,029,13/11/2018
101, 284,5067589636471337,839,15/11/2021
122, 266,6363696820027475,923,21/11/2021
123, 189,5041752038159329,575,22/11/2022
124, 285,5041750257555979,123,20/10/2024
126, 179,5041751866159625,521,23/10/2023
127, 287,4389352446845123,525,29/10/2021
128, 176,5356343744837298,251,21/02/2022
129, 274,4929877602496,525,21/05/2017
130, 266,4916823839036282,412,28/11/2017
131, 227,4206179317223309,231,28/01/2017
144, 230,30163713499119,321,18/01/2017
145, 200,3510556028451480,123,18/01/2011
146, 226,347688507679680,4921,08/01/2010
